sku,warehouse_code,qty_on_hand,qty_reserved
SKU_0280,NRT01,427,58
SKU_0305,NRT01,308,148
SKU_0396,MXP01,106,9
SKU_0016,MAD01,349,89
SKU_0041,BER01,258,130
SKU_0181,SIN01,280,112
SKU_0272,JFK01,402,135
SKU_0482,CDG01,347,144
SKU_0175,SIN01,92,92
SKU_0445,BER01,124,77
SKU_0229,BER01,101,1
SKU_0350,LHR01,287,154
SKU_0288,ICN01,416,92
SKU_0324,MAD01,438,196
SKU_0349,BER01,149,103
SKU_0388,CDG01,426,115
SKU_0386,MXP01,174,107
SKU_0081,DXB01,347,191
SKU_0194,SIN01,1,0
SKU_0468,JFK01,229,25
SKU_0481,BER01,413,163
SKU_0260,SIN01,182,133
SKU_0232,DXB01,27,25
SKU_0297,BER01,445,8
SKU_0341,JFK01,17,15
SKU_0175,JFK01,23,8
SKU_0205,MAD01,466,12
SKU_0454,SIN01,147,53
SKU_0298,CDG01,323,102
SKU_0423,MXP01,470,136
SKU_0129,SIN01,253,48
SKU_0315,JFK01,21,4
SKU_0153,MXP01,422,199
SKU_0138,CDG01,349,122
SKU_0121,LHR01,293,123
SKU_0042,BER01,334,159
SKU_0384,CDG01,61,4
SKU_0093,CDG01,387,50
SKU_0388,ICN01,250,46
SKU_0313,LHR01,376,101
SKU_0317,MXP01,475,32
SKU_0458,ICN01,42,40
SKU_0398,ICN01,212,169
SKU_0216,MXP01,247,16
SKU_0015,SIN01,355,146
SKU_0113,DXB01,93,56
SKU_0175,ICN01,187,34
SKU_0359,CDG01,278,63
SKU_0055,NRT01,5,5
SKU_0003,LHR01,377,98
SKU_0041,BER01,113,22
SKU_0047,DXB01,81,72
SKU_0479,CDG01,30,26
SKU_0489,SIN01,151,17
SKU_0414,ICN01,448,96
SKU_0365,MXP01,107,4
SKU_0282,ICN01,12,12
SKU_0152,JFK01,284,169
SKU_0121,LHR01,203,125
SKU_0072,NRT01,66,38
SKU_0196,MXP01,143,121
SKU_0060,CDG01,194,12
SKU_0405,ICN01,31,27
SKU_0233,NRT01,251,116
SKU_0271,BER01,453,158
SKU_0085,LHR01,130,31
SKU_0279,LHR01,20,1
SKU_0236,JFK01,412,155
SKU_0014,BER01,338,65
SKU_0242,MAD01,414,136
SKU_0369,CDG01,371,26
SKU_0336,LHR01,233,15
SKU_0377,DXB01,392,100
SKU_0139,SIN01,326,173
SKU_0220,DXB01,276,161
SKU_0190,SIN01,387,93
SKU_0231,MAD01,10,3
SKU_0413,NRT01,204,160
SKU_0237,DXB01,324,150
SKU_0385,MXP01,393,125
SKU_0478,MAD01,500,21
SKU_0427,CDG01,418,149
SKU_0390,MAD01,366,158
SKU_0299,NRT01,380,123
SKU_0271,MXP01,276,183
SKU_0437,ICN01,161,41
SKU_0112,CDG01,275,1
SKU_0148,DXB01,429,54
SKU_0100,MXP01,449,54
SKU_0013,MXP01,313,139
SKU_0090,CDG01,403,118
SKU_0435,CDG01,1,0
SKU_0079,ICN01,487,196
SKU_0240,DXB01,172,67
SKU_0229,DXB01,103,103
SKU_0363,MAD01,222,74
SKU_0405,LHR01,485,108
SKU_0108,BER01,71,43
SKU_0042,LHR01,241,36
SKU_0420,NRT01,26,6
SKU_0432,DXB01,259,41
SKU_0046,SIN01,410,44
SKU_0199,NRT01,350,63
SKU_0444,CDG01,278,196
SKU_0465,CDG01,400,191
SKU_0471,MXP01,283,163
SKU_0327,CDG01,274,176
SKU_0264,ICN01,450,177
SKU_0041,LHR01,85,47
SKU_0258,CDG01,154,77
SKU_0360,NRT01,30,12
SKU_0164,SIN01,472,123
SKU_0065,LHR01,51,8
SKU_0228,LHR01,359,103
SKU_0265,LHR01,0,0
SKU_0494,SIN01,212,109
SKU_0499,NRT01,467,94
SKU_0066,LHR01,170,38
SKU_0478,ICN01,247,51
SKU_0424,SIN01,58,4
SKU_0007,SIN01,391,1
SKU_0480,ICN01,273,105
SKU_0270,ICN01,140,107
